District ,Mandal,Muncipality,WardName,female,male,transgender
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 15,24,4,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 16,63,22,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 17,18,12,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 19,27,6,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 20,61,24,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 21,105,57,3
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 22,18,4,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 23,57,20,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 24,14,4,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 25,181,73,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 26,149,68,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 27,423,238,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 28,58,24,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 29,56,8,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 30,23,9,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  1,1293,534,4
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  10,887,422,2
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  11,124,62,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  12,89,30,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  2,1605,563,8
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  3,1782,721,2
